Date;Start;End;Activity
05.06.18;14:50;14:51;
05.06.18;15:04;15:05;
05.06.18;15:30;15:30;
06.06.18;08:38;08:38;
06.06.18;08:56;08:56;
06.06.18;08:56;08:57;
06.06.18;09:14;09:15;
06.06.18;09:30;09:30;
06.06.18;09:39;09:39;
06.06.18;10:13;10:14;
06.06.18;10:26;10:27;
06.06.18;10:48;10:49;
06.06.18;10:49;10:50;
06.06.18;13:53;13:53;
06.06.18;14:27;14:27;
06.06.18;14:52;14:52;
06.06.18;17:05;17:05;
07.06.18;07:56;07:57;
07.06.18;07:59;07:59;
07.06.18;08:53;08:54;
07.06.18;09:05;09:06;
07.06.18;09:06;09:06;
07.06.18;09:18;09:18;
07.06.18;09:39;09:40;
07.06.18;09:40;09:41;
07.06.18;09:44;09:44;
07.06.18;09:50;09:51;
07.06.18;10:37;10:38;
07.06.18;11:20;11:21;
07.06.18;12:43;12:43;
07.06.18;13:13;13:14;
07.06.18;13:14;13:14;
07.06.18;13:15;13:15;
07.06.18;13:21;13:21;
07.06.18;14:08;14:08;
07.06.18;15:16;15:07;
07.06.18;16:15;16:16;
07.06.18;08:12;08:13;
08.06.18;08:26;08:26;
08.06.18;08:27;08:27;
08.06.18;08:28;08:28;
08.06.18;08:29;08:29;
08.06.18;08:29;08:29;
08.06.18;08:34;08:34;
08.06.18;08:35;08:35;
08.06.18;08:40;08:41;
08.06.18;08:41;08:42;
08.06.18;08:45;08:45;
08.06.18;09:10;09:10;
08.06.18;09:30;09:31;
08.06.18;09:31;09:31;
08.06.18;09:55;09:55;
08.06.18;12:50;12:51;
08.06.18;14:00;14:01;
08.06.18;14:30;14:30;
08.06.18;14:30;13:30;
08.06.18;;;
11.06.18;07:37;07:37;
11.06.18;07:39;07:39;
11.06.18;07:40;07:40;
11.06.18;07:49;07:49;
11.06.18;08:25;08:25;
11.06.18;08:44;08:33;
11.06.18;08:45;08:45;
11.06.18;08:52;08:53;
11.06.18;08:53;08:54;
11.06.18;08:55;08:56;
11.06.18;09:05;09:06;
11.06.18;09:06;09:06;
11.06.18;09:15;09:16;
11.06.18;09:16;09:16;
11.06.18;09:22;09:22;
11.06.18;09:23;09:23;
11.06.18;09:24;09:24;
11.06.18;09:40;09:41;
11.06.18;10:16;10:17;
11.06.18;10:20;10:20;
11.06.18;10:58;10:58;
11.06.18;11:19;11:20;
11.06.18;11:34;11:34;
11.06.18;12:43;12:43;
11.06.18;12:45;12:45;
11.06.18;12:53;12:53;
11.06.18;13:19;13:20;
11.06.18;13:19;13:20;
11.06.18;13:27;13:28;
11.06.18;13:30;13:31;
11.06.18;13:30;13:31;
11.06.18;14:40;14:41;
11.06.18;15:43;15:43;
11.06.18;15:44;15:44;
11.06.18;15:48;15:49;
11.06.18;15:49;15:49;
12.06.18;07:26;07:27;
12.06.18;07:27;07:27;
12.06.18;07:28;07:28;
12.06.18;07:59;07:59;
12.06.18;08:05;08:06;
12.06.18;08:27;08:28;
12.06.18;08:28;08:29;
12.06.18;08:29;08:30;
12.06.18;08:30;08:31;
12.06.18;09:33;09:33;
12.06.18;09:34;09:34;
12.06.18;09:35;09:35;
12.06.18;09:36;09:36;
12.06.18;09:42;09:43;
12.06.18;09:46;09:47;
